'Id', 'UserId', 'Name', 'Date', 'Class', 'TagBased'
'83076', '308', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83077', '1291', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83078', '1729', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83080', '825', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83081', '238', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83082', '1266', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83084', '6370', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83085', '36', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83086', '2091', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83088', '2287', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83089', '5782', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83090', '2983', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83091', '1324', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83093', '391', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83094', '755', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83095', '2152', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83096', '4100', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83097', '3122', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83098', '5330', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83099', '5374', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83101', '5433', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83102', '534', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83103', '2894', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83104', '5946', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83105', '1441', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83106', '4074', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83107', '876', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83108', '661', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83109', '1523', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83110', '3717', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83111', '4685', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83112', '4313', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83113', '2271', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83114', '1292', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83115', '4329', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83116', '5357', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83117', '533', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83119', '209', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83120', '4923', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83121', '1308', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83122', '5048', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83123', '3743', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83124', '3442', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83125', '2973', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83126', '2074', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83127', '3811', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83128', '1348', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83129', '734', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83130', '4279', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83131', '4365', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83145', '2180', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83149', '3583', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83150', '2653', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83151', '4141', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83155', '1993', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83165', '4826', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83177', '184', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83183', '911', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83205', '1799', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83221', '1193', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83252', '1028', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83253', '3632', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83276', '1809', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83279', '2349', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83288', '4581', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83290', '4930', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83295', '5819', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83296', '1778', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83297', '194', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83298', '2574', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83299', '1103', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83300', '1366', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83301', '3610', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83302', '324', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83303', '384', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83304', '1588', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83305', '1623', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83306', '1996', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83307', '624', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83308', '362', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83309', '390', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83310', '1409', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83311', '2976', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83312', '1088', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83313', '1403', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83314', '2984', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83315', '5304', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
